"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Diptera"	11	84	0.95	"max"	1	"False"	17459	4456	7824	333	708	1120	199	246	0.0425613496932515	0.281073446327684	1928	22	363	162	314	104	46	0.0114107883817427	0.442307692307692	0.036402789171452	0.301724137931034
"Diptera"	12	84	0.95	"mean"	1	"False"	17459	4630	7824	392	708	1120	179	223	0.0501022494887526	0.252824858757062	1928	27	363	162	314	104	45	0.0140041493775934	0.432692307692308	0.0429655455291222	0.275862068965517
"Diptera"	13	84	0.95	"max"	1	"True"	17459	3913	7824	318	708	1120	266	340	0.0406441717791411	0.375706214689266	1928	25	363	162	314	104	59	0.0129668049792531	0.567307692307692	0.0351722723543888	0.400246305418719
"Diptera"	14	84	0.95	"mean"	1	"True"	17459	3951	7824	332	708	1120	263	337	0.0424335378323108	0.371468926553672	1928	26	363	162	314	104	59	0.0134854771784232	0.567307692307692	0.0367104183757178	0.396551724137931
"Diptera"	15	84	0.95	"max"	0.5	"True"	17459	3735	7824	286	708	1120	270	346	0.0365541922290389	0.38135593220339	1928	21	363	162	314	104	60	0.0108921161825726	0.576923076923077	0.0314807219031993	0.4064039408867
"Diptera"	16	84	0.95	"mean"	0.5	"True"	17459	3786	7824	293	708	1120	269	345	0.0374488752556237	0.379943502824859	1928	21	363	162	314	104	60	0.0108921161825726	0.576923076923077	0.0321985233798195	0.405172413793103
"Diptera"	17	84	0.95	"max"	0.5	"False"	17459	4174	7824	290	708	1120	215	275	0.0370654396728016	0.303672316384181	1928	17	363	162	314	104	48	0.0088174273858921	0.461538461538462	0.0314807219031993	0.323891625615764
"Diptera"	18	84	0.95	"mean"	0.5	"False"	17459	4431	7824	336	708	1120	184	230	0.0429447852760736	0.259887005649718	1928	22	363	162	314	104	46	0.0114107883817427	0.442307692307692	0.0367104183757178	0.283251231527094
"Diptera"	19	84	0.9	"max"	0.1	"False"	17459	3356	7824	162	708	1120	283	371	0.0207055214723926	0.399717514124294	1928	10	363	162	314	104	51	0.0051867219917012	0.490384615384615	0.0176374077112387	0.411330049261084
"Diptera"	20	84	0.9	"mean"	0.1	"False"	17459	3841	7824	200	708	1120	214	270	0.0255623721881391	0.30225988700565	1928	14	363	162	314	104	47	0.0072614107883817	0.451923076923077	0.0219442165709598	0.321428571428571
"Diptera"	21	84	0.9	"max"	0.5	"False"	17459	4209	7824	292	708	1120	211	266	0.037321063394683	0.298022598870056	1928	18	363	162	314	104	47	0.0093360995850622	0.451923076923077	0.0317883511074651	0.317733990147783
"Diptera"	22	84	0.9	"mean"	0.5	"False"	17459	4509	7824	351	708	1120	173	216	0.044861963190184	0.244350282485876	1928	23	363	162	314	104	46	0.0119294605809129	0.442307692307692	0.0383511074651354	0.269704433497537
"Diptera"	23	84	0.9	"max"	0.8	"False"	17459	4416	7824	323	708	1120	198	243	0.0412832310838446	0.279661016949153	1928	19	363	162	314	104	45	0.0098547717842323	0.432692307692308	0.0350697292863002	0.299261083743842
"Diptera"	24	84	0.9	"mean"	0.8	"False"	17459	4660	7824	390	708	1120	169	211	0.0498466257668712	0.238700564971751	1928	28	363	162	314	104	45	0.0145228215767635	0.432692307692308	0.0428630024610336	0.263546798029557
"Diptera"	25	84	0.9	"max"	0.1	"True"	17459	3274	7824	179	708	1120	287	367	0.0228783231083845	0.405367231638418	1928	12	363	162	314	104	61	0.0062240663900414	0.586538461538462	0.0195857260049221	0.428571428571429
"Diptera"	26	84	0.9	"mean"	0.1	"True"	17459	3336	7824	187	708	1120	283	362	0.02390081799591	0.399717514124294	1928	13	363	162	314	104	60	0.0067427385892116	0.576923076923077	0.0205086136177194	0.422413793103448
"Diptera"	27	84	0.9	"max"	0.5	"True"	17459	3790	7824	299	708	1120	266	337	0.0382157464212679	0.375706214689266	1928	23	363	162	314	104	60	0.0119294605809129	0.576923076923077	0.0330188679245283	0.401477832512315
"Diptera"	28	84	0.9	"mean"	0.5	"True"	17459	3841	7824	306	708	1120	265	336	0.0391104294478528	0.374293785310734	1928	23	363	162	314	104	60	0.0119294605809129	0.576923076923077	0.0337366694011485	0.400246305418719
"Diptera"	29	84	0.9	"max"	0.8	"True"	17459	3914	7824	319	708	1120	262	332	0.0407719836400818	0.370056497175141	1928	24	363	162	314	104	59	0.012448132780083	0.567307692307692	0.0351722723543888	0.395320197044335
"Diptera"	30	84	0.9	"mean"	0.8	"True"	17459	3961	7824	333	708	1120	260	330	0.0425613496932515	0.367231638418079	1928	27	363	162	314	104	59	0.0140041493775934	0.567307692307692	0.036915504511895	0.392857142857143
"Diptera"	31	84	0.9	"max"	1	"True"	17459	3969	7824	332	708	1120	262	331	0.0424335378323108	0.370056497175141	1928	27	363	162	314	104	59	0.0140041493775934	0.567307692307692	0.0368129614438064	0.395320197044335
"Diptera"	32	84	0.9	"mean"	1	"True"	17459	4007	7824	346	708	1120	259	328	0.0442229038854806	0.365819209039548	1928	28	363	162	314	104	59	0.0145228215767635	0.567307692307692	0.0383511074651354	0.391625615763547
"Diptera"	33	84	0.99	"max"	0.1	"True"	17459	3187	7824	165	708	1120	301	385	0.0210889570552147	0.425141242937853	1928	11	363	162	314	104	61	0.0057053941908713	0.586538461538462	0.0180475799835931	0.445812807881773
"Diptera"	34	84	0.95	"max"	0.05	"True"	17459	2943	7824	125	708	1120	310	403	0.0159764826175869	0.437853107344633	1928	7	363	162	314	104	64	0.0036307053941908	0.615384615384615	0.0135356849876948	0.460591133004926
"Diptera"	35	84	0.9	"max"	0.1	"True"	17459	3274	7824	179	708	1120	287	367	0.0228783231083845	0.405367231638418	1928	12	363	162	314	104	61	0.0062240663900414	0.586538461538462	0.0195857260049221	0.428571428571429
"Diptera"	36	84	0.9	"max"	0.05	"True"	17459	2971	7824	129	708	1120	306	396	0.0164877300613497	0.432203389830508	1928	7	363	162	314	104	64	0.0036307053941908	0.615384615384615	0.0139458572600492	0.455665024630542
"Diptera"	37	90	0.95	"max"	0.1	"True"	17459	2958	7824	127	708	1120	316	404	0.0162321063394683	0.446327683615819	1928	9	363	162	314	104	62	0.0046680497925311	0.596153846153846	0.0139458572600492	0.46551724137931
"Diptera"	38	95	0.95	"max"	0.1	"True"	17459	937	7824	33	708	1120	542	819	0.0042177914110429	0.765536723163842	1928	2	363	162	314	104	96	0.0010373443983402	0.923076923076923	0.0035890073831009	0.785714285714286
"Diptera"	39	84	0.99	"mean"	0.1	"True"	17459	3249	7824	173	708	1120	297	380	0.0221114519427403	0.419491525423729	1928	12	363	162	314	104	60	0.0062240663900414	0.576923076923077	0.0189704675963905	0.439655172413793
"Diptera"	40	84	0.95	"mean"	0.05	"True"	17459	3021	7824	132	708	1120	305	396	0.0168711656441718	0.430790960451977	1928	9	363	162	314	104	63	0.0046680497925311	0.605769230769231	0.0144585726004922	0.45320197044335
"Diptera"	41	84	0.9	"mean"	0.1	"True"	17459	3336	7824	187	708	1120	283	362	0.02390081799591	0.399717514124294	1928	13	363	162	314	104	60	0.0067427385892116	0.576923076923077	0.0205086136177194	0.422413793103448
"Diptera"	42	84	0.9	"mean"	0.05	"True"	17459	3049	7824	136	708	1120	301	389	0.0173824130879346	0.425141242937853	1928	9	363	162	314	104	63	0.0046680497925311	0.605769230769231	0.0148687448728466	0.448275862068966
"Diptera"	43	90	0.95	"mean"	0.1	"True"	17459	3015	7824	132	708	1120	312	399	0.0168711656441718	0.440677966101695	1928	9	363	162	314	104	61	0.0046680497925311	0.586538461538462	0.0144585726004922	0.45935960591133
"Diptera"	44	95	0.95	"mean"	0.1	"True"	17459	954	7824	33	708	1120	540	816	0.0042177914110429	0.76271186440678	1928	2	363	162	314	104	96	0.0010373443983402	0.923076923076923	0.0035890073831009	0.783251231527094
"Hymenoptera"	1	84	0.9	"max"	1	"False"	14315	3118	5452	167	338	445	149	176	0.0306309611151871	0.440828402366864	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0271268057784912	0.441176470588235
"Hymenoptera"	2	84	0.9	"mean"	1	"False"	14315	3301	5452	184	338	445	135	156	0.0337490829053558	0.399408284023669	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0298555377207063	0.4
"Hymenoptera"	3	84	0.95	"max"	0.1	"True"	14315	1702	5452	78	338	445	215	269	0.0143066764490095	0.636094674556213	778	0	28	12	14	2	1	0	0.5	0.0125200642054575	0.635294117647059
"Hymenoptera"	4	84	0.95	"max"	0.1	"False"	14315	1519	5452	63	338	445	249	312	0.0115553925165077	0.736686390532544	778	0	28	12	14	2	1	0	0.5	0.0101123595505618	0.735294117647059
"Hymenoptera"	5	84	0.95	"max"	0.8	"True"	14315	2622	5452	150	338	445	171	212	0.0275128393250183	0.505917159763314	778	0	28	12	14	2	1	0	0.5	0.0240770465489567	0.505882352941176
"Hymenoptera"	6	84	0.95	"max"	0.8	"False"	14315	2956	5452	158	338	445	155	185	0.028980190755686	0.458579881656805	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0255216693418941	0.458823529411765
"Hymenoptera"	7	84	0.95	"mean"	0.1	"True"	14315	1797	5452	82	338	445	211	263	0.0150403521643434	0.624260355029586	778	0	28	12	14	2	1	0	0.5	0.0131621187800963	0.623529411764706
"Hymenoptera"	8	84	0.95	"mean"	0.1	"False"	14315	2002	5452	85	338	445	204	249	0.0155906089508437	0.603550295857988	778	0	28	12	14	2	1	0	0.5	0.0136436597110754	0.602941176470588
"Hymenoptera"	9	84	0.95	"mean"	0.8	"True"	14315	2673	5452	154	338	445	170	210	0.0282465150403522	0.502958579881657	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0248796147672552	0.502941176470588
"Hymenoptera"	10	84	0.95	"mean"	0.8	"False"	14315	3139	5452	172	338	445	138	163	0.0315480557593544	0.408284023668639	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0279293739967897	0.408823529411765
"Hymenoptera"	11	84	0.95	"max"	1	"False"	14315	3069	5452	165	338	445	150	177	0.0302641232575202	0.443786982248521	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0268057784911717	0.444117647058824
"Hymenoptera"	12	84	0.95	"mean"	1	"False"	14315	3203	5452	177	338	445	138	162	0.0324651504035216	0.408284023668639	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0287319422150883	0.408823529411765
"Hymenoptera"	13	84	0.95	"max"	1	"True"	14315	2695	5452	156	338	445	171	211	0.0286133528980191	0.505917159763314	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0252006420545746	0.505882352941176
"Hymenoptera"	14	84	0.95	"mean"	1	"True"	14315	2733	5452	158	338	445	170	209	0.028980190755686	0.502958579881657	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0255216693418941	0.502941176470588
"Hymenoptera"	15	84	0.95	"max"	0.5	"True"	14315	2452	5452	132	338	445	181	224	0.0242112986060161	0.535502958579882	778	0	28	12	14	2	1	0	0.5	0.0211878009630819	0.535294117647059
"Hymenoptera"	16	84	0.95	"mean"	0.5	"True"	14315	2508	5452	136	338	445	179	221	0.02494497432135	0.529585798816568	778	0	28	12	14	2	1	0	0.5	0.0218298555377207	0.529411764705882
"Hymenoptera"	17	84	0.95	"max"	0.5	"False"	14315	2691	5452	134	338	445	175	211	0.0245781364636831	0.517751479289941	778	0	28	12	14	2	1	0	0.5	0.0215088282504013	0.517647058823529
"Hymenoptera"	18	84	0.95	"mean"	0.5	"False"	14315	2966	5452	152	338	445	149	177	0.0278796771826853	0.440828402366864	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0245585874799358	0.441176470588235
"Hymenoptera"	19	84	0.9	"max"	0.1	"False"	14315	1525	5452	64	338	445	249	312	0.0117388114453412	0.736686390532544	778	0	28	12	14	2	1	0	0.5	0.0102728731942215	0.735294117647059
"Hymenoptera"	20	84	0.9	"mean"	0.1	"False"	14315	2032	5452	86	338	445	204	249	0.0157740278796772	0.603550295857988	778	0	28	12	14	2	1	0	0.5	0.0138041733547352	0.602941176470588
"Hymenoptera"	21	84	0.9	"max"	0.5	"False"	14315	2724	5452	136	338	445	174	210	0.02494497432135	0.514792899408284	778	0	28	12	14	2	1	0	0.5	0.0218298555377207	0.514705882352941
"Hymenoptera"	22	84	0.9	"mean"	0.5	"False"	14315	3046	5452	158	338	445	147	174	0.028980190755686	0.43491124260355	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0255216693418941	0.435294117647059
"Hymenoptera"	23	84	0.9	"max"	0.8	"False"	14315	3000	5452	160	338	445	154	184	0.0293470286133529	0.455621301775148	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0258426966292135	0.455882352941176
"Hymenoptera"	24	84	0.9	"mean"	0.8	"False"	14315	3234	5452	179	338	445	135	157	0.0328319882611886	0.399408284023669	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0290529695024077	0.4
"Hymenoptera"	25	84	0.9	"max"	0.1	"True"	14315	1751	5452	82	338	445	215	269	0.0150403521643434	0.636094674556213	778	0	28	12	14	2	1	0	0.5	0.0131621187800963	0.635294117647059
"Hymenoptera"	26	84	0.9	"mean"	0.1	"True"	14315	1846	5452	86	338	445	211	263	0.0157740278796772	0.624260355029586	778	0	28	12	14	2	1	0	0.5	0.0138041733547352	0.623529411764706
"Hymenoptera"	27	84	0.9	"max"	0.5	"True"	14315	2517	5452	139	338	445	181	224	0.0254952311078503	0.535502958579882	778	0	28	12	14	2	1	0	0.5	0.0223113964686998	0.535294117647059
"Hymenoptera"	28	84	0.9	"mean"	0.5	"True"	14315	2573	5452	143	338	445	179	221	0.0262289068231842	0.529585798816568	778	0	28	12	14	2	1	0	0.5	0.0229534510433387	0.529411764705882
"Hymenoptera"	29	84	0.9	"max"	0.8	"True"	14315	2689	5452	157	338	445	171	210	0.0287967718268525	0.505917159763314	778	0	28	12	14	2	1	0	0.5	0.0252006420545746	0.505882352941176
"Hymenoptera"	30	84	0.9	"mean"	0.8	"True"	14315	2740	5452	161	338	445	170	208	0.0295304475421864	0.502958579881657	778	1	28	12	14	2	1	0.0012853470437018	0.5	0.0260032102728732	0.502941176470588
"Hymenoptera"	31	84	0.9	"max"	1	"True"	14315	2765	5452	164	338	445	171	208	0.0300807043286867	0.505917159763314	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.026645264847512	0.505882352941176
"Hymenoptera"	32	84	0.9	"mean"	1	"True"	14315	2803	5452	166	338	445	170	206	0.0304475421863536	0.502958579881657	778	2	28	12	14	2	1	0.0025706940874036	0.5	0.0269662921348315	0.502941176470588
"Hymenoptera"	33	84	0.99	"max"	0.1	"True"	14315	1642	5452	73	338	445	220	276	0.0133895818048423	0.650887573964497	778	0	28	12	14	2	1	0	0.5	0.0117174959871589	0.65
"Hymenoptera"	34	84	0.95	"max"	0.05	"True"	14315	1301	5452	58	338	445	239	299	0.0106382978723404	0.707100591715976	778	0	28	12	14	2	1	0	0.5	0.0093097913322632	0.705882352941176
"Hymenoptera"	35	84	0.9	"max"	0.1	"True"	14315	1751	5452	82	338	445	215	269	0.0150403521643434	0.636094674556213	778	0	28	12	14	2	1	0	0.5	0.0131621187800963	0.635294117647059
"Hymenoptera"	36	84	0.9	"max"	0.05	"True"	14315	1339	5452	61	338	445	239	299	0.0111885546588408	0.707100591715976	778	0	28	12	14	2	1	0	0.5	0.0097913322632423	0.705882352941176
"Hymenoptera"	37	90	0.95	"max"	0.1	"True"	14315	1526	5452	68	338	445	220	275	0.012472487160675	0.650887573964497	778	0	28	12	14	2	2	0	1	0.0109149277688604	0.652941176470588
"Hymenoptera"	38	95	0.95	"max"	0.1	"True"	14315	407	5452	23	338	445	275	359	0.0042186353631694	0.813609467455621	778	0	28	12	14	2	2	0	1	0.0036918138041733	0.814705882352941
"Hymenoptera"	39	84	0.99	"mean"	0.1	"True"	14315	1737	5452	77	338	445	216	270	0.0141232575201761	0.63905325443787	778	0	28	12	14	2	1	0	0.5	0.0123595505617978	0.638235294117647
"Hymenoptera"	40	84	0.95	"mean"	0.05	"True"	14315	1363	5452	59	338	445	234	292	0.0108217168011739	0.692307692307692	778	0	28	12	14	2	1	0	0.5	0.0094703049759229	0.691176470588235
"Hymenoptera"	41	84	0.9	"mean"	0.1	"True"	14315	1846	5452	86	338	445	211	263	0.0157740278796772	0.624260355029586	778	0	28	12	14	2	1	0	0.5	0.0138041733547352	0.623529411764706
"Hymenoptera"	42	84	0.9	"mean"	0.05	"True"	14315	1401	5452	62	338	445	234	292	0.0113719735876742	0.692307692307692	778	0	28	12	14	2	1	0	0.5	0.009951845906902	0.691176470588235
"Hymenoptera"	43	90	0.95	"mean"	0.1	"True"	14315	1614	5452	71	338	445	216	269	0.0130227439471753	0.63905325443787	778	0	28	12	14	2	2	0	1	0.0113964686998395	0.641176470588235
"Hymenoptera"	44	95	0.95	"mean"	0.1	"True"	14315	430	5452	23	338	445	272	356	0.0042186353631694	0.804733727810651	778	0	28	12	14	2	2	0	1	0.0036918138041733	0.805882352941176
"Coleoptera"	1	84	0.9	"max"	1	"False"	2663	684	1675	48	184	401	25	143	0.0286567164179104	0.135869565217391	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0219643597181931	0.259842519685039
"Coleoptera"	2	84	0.9	"mean"	1	"False"	2663	703	1675	53	184	401	20	134	0.0316417910447761	0.108695652173913	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0240364691255698	0.236220472440945
"Coleoptera"	3	84	0.95	"max"	0.1	"True"	2663	535	1675	27	184	401	69	197	0.0161194029850746	0.375	738	1	620	253	404	70	46	0.0013550135501355	0.657142857142857	0.0116038126813096	0.452755905511811
"Coleoptera"	4	84	0.95	"max"	0.1	"False"	2663	525	1675	29	184	401	72	212	0.0173134328358209	0.391304347826087	738	2	620	253	404	70	45	0.002710027100271	0.642857142857143	0.0128470783257356	0.460629921259843
"Coleoptera"	5	84	0.95	"max"	0.8	"True"	2663	613	1675	41	184	401	49	165	0.0244776119402985	0.266304347826087	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.018234562784915	0.37007874015748
"Coleoptera"	6	84	0.95	"max"	0.8	"False"	2663	667	1675	46	184	401	33	152	0.0274626865671642	0.179347826086957	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0211355159552424	0.291338582677165
"Coleoptera"	7	84	0.95	"mean"	0.1	"True"	2663	546	1675	27	184	401	66	193	0.0161194029850746	0.358695652173913	738	1	620	253	404	70	46	0.0013550135501355	0.657142857142857	0.0116038126813096	0.440944881889764
"Coleoptera"	8	84	0.95	"mean"	0.1	"False"	2663	602	1675	32	184	401	49	176	0.0191044776119403	0.266304347826087	738	3	620	253	404	70	42	0.0040650406504065	0.6	0.014504765851637	0.358267716535433
"Coleoptera"	9	84	0.95	"mean"	0.8	"True"	2663	616	1675	41	184	401	47	163	0.0244776119402985	0.255434782608696	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.018234562784915	0.362204724409449
"Coleoptera"	10	84	0.95	"mean"	0.8	"False"	2663	687	1675	48	184	401	25	140	0.0286567164179104	0.135869565217391	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0219643597181931	0.255905511811024
"Coleoptera"	11	84	0.95	"max"	1	"False"	2663	677	1675	47	184	401	29	147	0.0280597014925373	0.157608695652174	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0215499378367178	0.275590551181102
"Coleoptera"	12	84	0.95	"mean"	1	"False"	2663	692	1675	50	184	401	25	139	0.0298507462686567	0.135869565217391	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0227932034811438	0.255905511811024
"Coleoptera"	13	84	0.95	"max"	1	"True"	2663	618	1675	42	184	401	48	163	0.0250746268656716	0.260869565217391	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0186489846663904	0.366141732283465
"Coleoptera"	14	84	0.95	"mean"	1	"True"	2663	621	1675	43	184	401	47	162	0.0256716417910448	0.255434782608696	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0190634065478657	0.362204724409449
"Coleoptera"	15	84	0.95	"max"	0.5	"True"	2663	601	1675	40	184	401	51	170	0.0238805970149254	0.277173913043478	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0178201409034397	0.377952755905512
"Coleoptera"	16	84	0.95	"mean"	0.5	"True"	2663	603	1675	40	184	401	49	168	0.0238805970149254	0.266304347826087	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0178201409034397	0.37007874015748
"Coleoptera"	17	84	0.95	"max"	0.5	"False"	2663	643	1675	43	184	401	37	162	0.0256716417910448	0.201086956521739	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0198922503108164	0.307086614173228
"Coleoptera"	18	84	0.95	"mean"	0.5	"False"	2663	674	1675	47	184	401	27	145	0.0280597014925373	0.146739130434783	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0215499378367178	0.263779527559055
"Coleoptera"	19	84	0.9	"max"	0.1	"False"	2663	526	1675	30	184	401	72	212	0.017910447761194	0.391304347826087	738	2	620	253	404	70	45	0.002710027100271	0.642857142857143	0.0132615002072109	0.460629921259843
"Coleoptera"	20	84	0.9	"mean"	0.1	"False"	2663	609	1675	33	184	401	45	172	0.0197014925373134	0.244565217391304	738	3	620	253	404	70	42	0.0040650406504065	0.6	0.0149191877331123	0.34251968503937
"Coleoptera"	21	84	0.9	"max"	0.5	"False"	2663	649	1675	44	184	401	34	159	0.0262686567164179	0.184782608695652	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0203066721922918	0.295275590551181
"Coleoptera"	22	84	0.9	"mean"	0.5	"False"	2663	684	1675	50	184	401	22	140	0.0298507462686567	0.119565217391304	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0227932034811438	0.244094488188976
"Coleoptera"	23	84	0.9	"max"	0.8	"False"	2663	674	1675	47	184	401	29	148	0.0280597014925373	0.157608695652174	738	5	620	253	404	70	41	0.0067750677506775	0.585714285714286	0.0215499378367178	0.275590551181102
"Coleoptera"	24	84	0.9	"mean"	0.8	"False"	2663	698	1675	51	184	401	20	135	0.0304477611940299	0.108695652173913	738	5	620	253	404	70	40	0.0067750677506775	0.571428571428571	0.0232076253626191	0.236220472440945
"Coleoptera"	25	84	0.9	"max"	0.1	"True"	2663	543	1675	30	184	401	65	193	0.017910447761194	0.353260869565217	738	1	620	253	404	70	46	0.0013550135501355	0.657142857142857	0.0128470783257356	0.437007874015748
"Coleoptera"	26	84	0.9	"mean"	0.1	"True"	2663	554	1675	30	184	401	62	189	0.017910447761194	0.33695652173913	738	1	620	253	404	70	46	0.0013550135501355	0.657142857142857	0.0128470783257356	0.425196850393701
"Coleoptera"	27	84	0.9	"max"	0.5	"True"	2663	611	1675	43	184	401	47	166	0.0256716417910448	0.255434782608696	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0190634065478657	0.362204724409449
"Coleoptera"	28	84	0.9	"mean"	0.5	"True"	2663	613	1675	43	184	401	45	164	0.0256716417910448	0.244565217391304	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0190634065478657	0.354330708661417
"Coleoptera"	29	84	0.9	"max"	0.8	"True"	2663	623	1675	44	184	401	45	161	0.0262686567164179	0.244565217391304	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0194778284293411	0.354330708661417
"Coleoptera"	30	84	0.9	"mean"	0.8	"True"	2663	626	1675	44	184	401	43	159	0.0262686567164179	0.233695652173913	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0194778284293411	0.346456692913386
"Coleoptera"	31	84	0.9	"max"	1	"True"	2663	628	1675	45	184	401	44	159	0.026865671641791	0.239130434782609	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0198922503108164	0.350393700787402
"Coleoptera"	32	84	0.9	"mean"	1	"True"	2663	631	1675	46	184	401	43	158	0.0274626865671642	0.233695652173913	738	3	620	253	404	70	45	0.0040650406504065	0.642857142857143	0.0203066721922918	0.346456692913386
"Coleoptera"	33	84	0.99	"max"	0.1	"True"	2663	525	1675	27	184	401	70	201	0.0161194029850746	0.380434782608696	738	1	620	253	404	70	47	0.0013550135501355	0.671428571428571	0.0116038126813096	0.460629921259843
"Coleoptera"	34	84	0.95	"max"	0.05	"True"	2663	477	1675	21	184	401	88	225	0.0125373134328358	0.478260869565217	738	0	620	253	404	70	47	0	0.671428571428571	0.0087028595109821	0.531496062992126
"Coleoptera"	35	84	0.9	"max"	0.1	"True"	2663	543	1675	30	184	401	65	193	0.017910447761194	0.353260869565217	738	1	620	253	404	70	46	0.0013550135501355	0.657142857142857	0.0128470783257356	0.437007874015748
